word,Sentiment
putus tali gantung,Negative
gelebah,Negative
gobar hati,Negative
tersentuh (perasaan),Negative
isak,Negative
larat hati,Negative
nelangsa,Negative
remuk redam,Negative
tidak segan,Negative
gemar,Negative
tak segan,Negative
sesal,Negative
pengen,Negative
penghayatan,Negative
absorpsi,Negative
linu,Negative
salah benang,Negative
sakit,Negative
lara,Negative
zuhud,Negative
mencederai,Negative
mengingkari,Negative
maaf,Negative
mengkhianat,Negative
mencelakai,Negative
mulu,Negative
ngga,Negative
borong,Negative
lever,Negative
kasian,Negative
gamau,Negative
doang,Negative
pulas,Negative
abis,Negative
coba,Negative
kangen,Negative
kalau,Negative
maunya,Negative
seandainya,Negative
marilah,Negative
bener,Negative
yaudah,Negative
nggak,Negative
gatau,Negative
apaan,Negative
ngakak,Negative
atuh,Negative
sekali,Negative
menarik hati,Negative
cedayam,Negative
kece,Negative
termakan,Negative
belom,Negative
malem,Negative
mencekau,Negative
menduga,Negative
menyuarakan,Negative
memprediksi,Negative
membunyikan,Negative
menerka,Negative
menaksir,Negative
mengantisipasi,Negative
nangis,Negative
rompok,Negative
soalnya,Negative
griya,Negative
gubuk,Negative
anjir,Negative
putus jiwa,Negative
berlalu dr dunia,Negative
putus nyawa,Negative
menarik napas penghabisan,Negative
membuang nyawa,Negative
hilang hayat,Negative
putus napas,Negative
kojor,Negative
berputih tulang,Negative
buntu,Negative
berkalang tanah,Negative
koit,Negative
putus usia,Negative
buntet,Negative
tamat riwayatnya,Negative
menamatkan riwayatnya,Negative
hilang nyawa,Negative
males,Negative
asih,Negative
kasih sayang,Negative
kekaguman,Negative
dendam berahi,Negative
rindu,Negative
afeksi,Negative
cinta kasih,Negative
renjana,Negative
pagina,Negative
tresna,Negative
filantropi,Negative
cintrong,Negative
cetusan,Negative
katanya,Negative
rintisan,Negative
kronologi,Negative
jalan buntu,Negative
rintis,Negative
jalan bebas hambatan,Negative
purwa,Negative
lanjut umur,Negative
bangkot,Negative
sepuh,Negative
lanjut usia,Negative
lepra,Negative
bau tanah,Negative
berumur,Negative
purba,Negative
jomblo,Negative
gacoan,Negative
tambatan hati,Negative
sir-siran,Negative
malam,Negative
tayib,Negative
tayibah,Negative
necis,Negative
estetis,Negative
baper,Negative
perfek,Negative
tolong,Negative
sayid,Negative
radang,Negative
didih,Negative
ngantuk,Negative
sirap hati,Negative
rampang,Negative
kecil hati,Negative
bertelinga merah,Negative
tersirap hatinya,Negative
merah telinga,Negative
mencak-mencak,Negative
gaada,Negative
manjur,Negative
mujarab,Negative
beber,Negative
singkap,Negative
penangkis,Negative
mending,Negative
akibat,Negative
satir,Negative
nyanyian,Negative
menyibuk,Negative
gara,Negative
dikit,Negative
ilang,Negative
kepeng,Negative
bodo,Negative
air,Negative
suri,Negative
ihh,Negative
asasi,Negative
menenes,Negative
tumpuan,Negative
fondasi,Negative
beliin,Negative
