sentimen,Tweet
Negative,lagu bosan apa yang aku save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu
Negative,kita lanjutkan saja diam ini hingga kau dan aku mengerti tidak semua kebersamaan harus melibatkan hati 
Positive,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p 
Positive,makasih loh ntar kita bagi hasil aku 99 9 sisanya buat kamu
Negative,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang 
Neutral,barusan liat tulisan di belakang truk rela injek kopling demi kamu bisa shopping 
Negative,cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p 
Positive,ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya
Negative,aku aja capek sama diriku sendiri apalagi kamu maaf ya ' 
Negative,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan 
Neutral,her itu lho miss kevin sama keven rebutan gimbot ya wis aku beli 2 ae sambil nunjuk the twins yg asik main ipad masin 
Neutral,iya rep gatau aku masih kelas 4 sd ehh di block 
Neutral,aku mohon tepatilah janjimu penantiancintaeps19
Neutral,bukan beria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser 
Neutral,aku ingatkan habanero paling pedas rupanya ada 10 kali ganda yg lagi pedas gila 
Neutral,aku tengok drama cinta bukan kristalatu conversation anak dengan bapak bapak iyeee sekarang semua perempuan n 
Positive,i dont know why but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla 
Negative,commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa 
Positive,aah kamu aja mas aku lebih suka diayomi 
Neutral,yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja 
Neutral,kau dah tak streak dengan aku pun 
Neutral,yg selama ini nunggun video dari aku nih retweet yg mau full 
Positive,mau bantu aku nabung 
Negative,kamu jahat dubu lt 
Neutral,tak kisah pun bf ade kawan perempuan sebab aku pun ade kawan laki tapi kalau over nak ngadu nak cite itu ini send ga 
Neutral,high 
Neutral,nanti malam ada undangan opening di hungerbelt spazio temani aku laaaahhh siiisssss 
Negative,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu 
Positive,tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya 
Positive,aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha 
Neutral,aku tambah lagi ia
Positive,cara nak mintak maaf ada 3 1 aku minta maaf 2 aku mengaku salah aku 3 apa yang boleh aku buat untuk betulkan ba 
Neutral,sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan 
Negative,kalo gebetan kamu ngga pernah buang ludah di jalan pacarin 
Negative,jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil 
Positive,yuk netweetjen dibantu
Positive,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka 
Neutral,lecturer aku suruh tampal note kat tempat yang aku selalu tengok takkan aku nak tampal kat muka crush pulak
Neutral,20thn aku pengen nikah umur 23 sm orang yang gini gini gini 23thn blm ada yg nglamar 24thn si 
Neutral,terdengar perbualan budak sekolah aku nk amik a level aku nk amik asasi asasi lagi ok dari matrik kan aa 
Neutral,cara outin diri sendiri gimana sih yang bisa outin aku aku bayar deh g 
Positive,giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo 
Positive,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka 
Positive,selamat hari jumat buat kamu yg selalu bikin rindu ini kumat 
Negative,kesian belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t 
Positive,diremes di enyot ngedusel dusel di nenen kamu wah mantap
Neutral,mana gampaang aku nanya dulu tauu 
Negative,idm hallo ami tolobg bantu ya huhu ini aku masalah album ku yg ga sampe sampe 
Negative,takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian
Positive,hi rakyat2 ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e 
Neutral,makan tido makan tido hari ni aku mereput je la kat rumah hadap diorang ni haih 
Negative,10 tahun jadi bestfriend but gaduh sikit sampai 7 bulan tak tegur malam tadi aku koyak sikit pastu post gambar dia tetib 
Neutral,threado as promised aku nk citer pengalaman aku ambik teh kurus pil kurus it was 2013 2014 mcm tuince everyone was s 
Neutral,makanya tadi aku kaget lihat teman kabar nya udah menikah dalam hati kamu kapan taarufnya kok sampai ga tercium kabarnya 
Negative,pacar kamu sibuk ya kok tumben komen wassap story aku 
Negative,kucin datang bawah meja mintak makanan kau bagi lah apa yang ada jangan sepak2 pulak dia tak datang seekor dia datang ber 
Negative,lepaskanlah dia tidak mau kamuadarlah jangan membatu 
Negative,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu 
Negative,tolong sebelum kau nak kacau orang yg aku sayang kau fikir dulu mcm mana perasaan kau bila ada orang kacau buah hati kau
Negative,biasalah tu perempuan kena berjaga jaga muka malaikat pun kadang2 perangai syaitan jugak aku pernah gak camni lari laju teruk 
Positive,pilih salah satu yang paling kamu nyaman
Positive,aku sendiri jugaaa yuk barengan
Negative,aku benci soalan bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu aku lak aku kena kire
Neutral,aku juga dong mbaknya link kalo jepang main 
Negative,24 8 18 birthday abang aku dia ajak pergi makan aku tolak sebab kerja balik lambat nak ot 26 8 18 dia ajak per 
Positive,mini giveaway berhubung aku ultah aku mau bagi rezeki pulsa 10k like aja mau mutualan boleh bgt doain aku yaa diundi j 
Positive,mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego 
Positive,aryana tolong bukak mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian pls laaaaaaaa murungnya aku kal 
Neutral,hyung kamu kanibal kan ' ' 
Positive,buatlah cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk membuat anak tangga perencanaannya cendekiabijak
Negative,kamu ga laku laku unn 
Negative,aku try untuk lupakan benda tu tapi akhirnya benda tu buat aku jadi down ya allah tlg laa hilangkan kekecewaan yg ada 
Neutral,jajanin aku kak 
Negative,iyaaaa kasian donghae nya aku kelelep 
Neutral,ini tiga aku satu aja gapunya ' 
Neutral,hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee 
Positive,cantik boleh la confess kat crush peluang kena reject tu senipis sel epidermis bawang je tang aku ni kalau confess hmm 
Neutral,'aku di rumah aja' adalah anagram dari 'besok malam minggu'
Neutral,jumat malam bersama 2 kawan di dalam mobil menuju sebwah apartemen diurabaya barat b gaes sorry ya aku dan a k 
Negative,aku juga pernah dah kek gitu 2x gaada hasil percumaa
Negative,ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana 
Positive,cnta kmu ke aku tuh kyk fto albm tau g dbalk2 ttp aj g brbh sma ky km yg g prnh brbh untk mnjdi yg trbaik untk aku
Positive,ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau 
Negative,aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe ada yang badmood woiiii nak makan je woiii 
Negative,kalau awek kamu bising nothing is wrong once awek kamu dah senyap everything is wrong perhaps dia dah ada someone yg 
Negative,pernah dan abis itu aku ga berani bawa motor selama beberapa hari dan pas mau bawa motor lagi gemeteran gitu
Positive,aku nk walk in ajelah senang
Positive,jadilah seperti aku
Positive,sentiasa ingatkan diri jangan selalu tunjukkan kegembiraan depan orang yang sedang kecewa moga aku sentiasa ingat 
