Text Tweet,Sentiment
Morning @RaffiAhmadLagi @Lady6igi jumat berkah buat kita semua,positive
Aku janji nggak akan pernah pergi dari dia! sesulit apapun hidupku dengan dia atau sebenci apapun dia denganku. :),positive
"#Golkar #ARB Banyak member ""lulus"", AKB48 ingin terus berjaya http://bit.ly/1vO2FdG ",positive
"Tolak HAMAS, Langkah Pemerintah Dipuji PDIP http://bit.ly/1KwhWtq  Kunjungan wisatawan asing ke Bali meningkat http://bit.ly/18abNEB ",positive
Sudirman Masih Calon Kuat Ketua DPC PDIP PPU - Tribun Kaltim http://goo.gl/fb/6jVgA4  #penajampaserutara,positive
"Skrng sekolahny udh bagus, dlu pas jaman aku atapnya masih bolong2, anak2 nya masih ad yg pake sendal k sekolah, terus satu bangku 5orang",positive
"Mendikbud: Sekolah yang sekarang diberikan kepercayaan untuk menentukan kelulusan, diharapkan memegang kepercayaan tersebut",positive
"Raffi Ahmad itu Unlimited,Istimewa,Ganteng,Rajin Menabung,Sholeh,Tdk sombong yeaaaah tepat sekaliiii ?? #TheBlusukan",positive
"Liat konser afgan d trans7 jdi teringat masa kepo liat afgan di tiara sampek tejongkok"" sama pika? (w/ Bagus) ? https://path.com/p/1CAPd6 ",positive
Sebuah sekolah di Norwegia tidak memberikan PR untuk muridnya agar lebih memiliki waktu bersama keluarga.,positive
"#Golkar #ARB Usulan pemerintah, biaya haji 2015 turun http://bit.ly/1LnTeLc ",positive
"Tolak HAMAS, Langkah Pemerintah Dipuji PDIP http://bit.ly/1KwhWtq  Film ""40 days in europe"" cari bintang http://bit.ly/1F79hJ9 ",positive
Sahabat itu dia yg slalu menemani kita disaat susah maupun senang. Bukan yg datang hanya disaat kita senang lalu pergi disaat kita terpuruk.,positive
Makan produk kacang semenjak bayi dapat mengurangi risiko alergi secara dramatis http://ngi.cc/n4N3 ,positive
#NowWatching Mas ganteng yg menemaniku sabtu malam ini ? Betapa Aku Cinta Padamu by Afgan ? https://path.com/p/2uS25y ,positive
"Harga MURAH! Pelayan baik dan ramah. Lokasi masuk gang (perkampungan warga) tp bisa dicari di google map. Kamar bersih, rapi dan cukup luas. fasilitas: TV mantap, AC kurang dingin (16°), snack dan air, perlengkapan mandi (sabun odol sikat), handuk ada 2 tp kecil, air lancar tp agak bau. mungkin krn air sumur bor dan lokasi dekat dengan sungai. ⭐⭐⭐⭐",positive
